date_transaction,lib1,debit,credit,lib4,lib5
2019-01-24,CHEQUE 2049101,-11460.000000,,LOCATIONS IMMOBILIERES,	Locations immobilières Porte de Bagnolet
2019-01-17,CHEQUE 2164708,-80.000000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-14,"PRLV SEPA OVH SAS OA62977-KS, ORDER 101018699 PAYMENT ORDER 101018699",-44.380000,,SOUS TRAITANCE GENERALE,Hébergements France
2019-03-19,AMAZON PAYMENTS PAYLI2441535/,-83.990000,,PUBLICITE RELATIONS PUBL,Cadeaux
2019-01-07,PRLV SEPA GOOGLE IRELAND LIMITE GG101NSPH4 APPS COMMERCE:ADBI.FR:GG101NSPH4,-255.470000,,SOUS TRAITANCE GENERALE,Hébergement U.E
2019-02-05,PRLV SEPA SPB DEB-SPB-876-20190127-000027796664 ASSURANCE MOBILE SPB BOUYGUES TELECOM,-14.990000,,ASSURANCES,Assurance mobiles 
2019-01-07,PRLV SEPA SPB DEB-SPB-876-20181228-000026994491 ASSURANCE MOBILE SPB BOUYGUES TELECOM,-14.990000,,ASSURANCES,Assurance mobiles 
2019-03-19,AMAZON EU SARL PAYLI2090401/,-419.950000,,PUBLICITE RELATIONS PUBL,Cadeaux
2019-03-18,PRLV SEPA BOUYGUES TELECOM B2K000190307254X000190307254B2K BOX,-24.990000,,FRAIS POSTE ET TELECOM,Frais de téléphonie
2019-01-16,PRLV SEPA URSSAF ILE-DE-FRANCE BQE311719015072006RCUR000025064 UR 117000001549472650 DEC 18788617793000160119,-73868.000000,,CHARGES SOCIALES PERSONN,Cotisations Urssaf
2019-03-29,PRLV SEPA EXPERTISE COMPTABLE A PK9086383Z4D0T04 ECAI,-7356.000000,,INTERMED ET HONORAIRES,Honoraires comptables
2019-02-28,PRLV SEPA EXPERTISE COMPTABLE A PK9057386CJV3104 ECAI 01.19,-4210.800000,,INTERMED ET HONORAIRES,Honoraires comptables
2019-01-31,PRLV SEPA EXPERTISE COMPTABLE A PK9029386PUUWS02 ECAI 12.18,-4629.600000,,INTERMED ET HONORAIRES,Honoraires comptables
2019-03-25,VIR SAS KARMA PARTNERS 0119 F0119 NO FC19002113 J A 480 : 6240 HT 7488 TTC,,7488.000000,VENTES PRESTATIONS SERV,Prestations services S.T.
2019-01-03,VIR OFII BOUSNADJI NABIL,-1238.000000,,AUTRES IMPOTS ADMIN FISC,Taxe OFII 
2019-03-25,VIR EI TECHNOLOGIES FCE 30066-12-19084065066733,,21876.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-03-19,VIR LEXICO RGLT FACTURE FC190025,,10578.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-03-31,AMAZON PAYMENTS PAYLI2441535/,-6.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-18,CARTE X5952 REMBT 15/03 CDISCOUNT COMMERCE ELECTRONIQUE,,1175.940000,,
2019-03-01,CARTE X5952 28/02 G7,-18.200000,,,
2019-03-11,CARTE X5952 REMBT 09/03 AMAZON PAYMENTS COMMERCE ELECTRONIQUE,,9.400000,,
2019-03-04,PRELEVEMENT EUROPEEN 6012304997 DE: BOUYGUES TELECOM ID: FR35ZZZ418323 MOTIF: Box REF: B2K000188222494X000188222494B2K,-94.870000,,FRAIS POSTE ET TELECOM,Frais de téléphonie
2019-03-28, 000001 VIR EUROPEEN EMIS MOTIF: SALAIRE Mars 2019,-7908.590000,,REMUNERATIONS PERSONNEL, Salaires bruts
2019-03-21,PRLV EUROPEEN B2B    7813875033 POUR CPTE DE:DGFIP IMPOT ID: FR46ZZZ005002 MOTIF: PASDSN15032019-022019-8023774570001 4,-188.000000,,DETTE FISCALE ET SOCIALE ,Tva
2019-03-18,CARTE X5952 15/03 AMAZON EU SARL COMMERCE ELECTRONIQUE,-49.900000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-22,CARTE X5952 20/03 AMAZON PAYMENTS COMMERCE ELECTRONIQUE,-49.900000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-20,CARTE X5952 15/03 AMAZON PAYMENTS COMMERCE ELECTRONIQUE,-137.020000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-18,CARTE X5952 15/03 AUCHAN BAGNOLET,-145.520000,,FRAIS DE RÉCEPTIONS,Frais de réception
